Pais,Growth Manager,Marca,Sucursal,App,Mes,Visitas,Conversión,Ordenes,Ventas,Recompra,NPS,Disponibilidad,Órdenes con Demora (%),Órdenes Canceladas (%),Tiempo de Preparación
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 mar 2025,9398,0.1711,1608,41548694.5,,4.6,0.9783,0.1711,0.0024,15
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 feb 2025,9456,0.169,1598,43199615,0.8004,4.25,1,,0,
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 ene 2025,1854,0.8466,1570,41713755,,4.6,0.9699,0.8466,0.005,14
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 dic 2024,11165,0.139,1552,43922850,0.7352,4.4,0.9648,,0.0013,
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 dic 2024,1636,0.9468,1549,38657535.6,,4.5,0.9687,0.9468,0.0006,17
Argentina,Juanchi,MARCA A ,Urquiza,Rappi,1 ene 2025,9307,0.166,1545,43753930,0.8058,4.3,0.9859,,0.0013,
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 dic 2024,1735,0.8899,1544,37508733.75,,4.6,0.9928,0.8899,0.0006,21
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 oct 2024,12332,0.1248,1539,33873919.5,,4.6,0.9967,0.1248,0.0006,15
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 nov 2024,9784,0.1573,1539,36389500,,4.6,0.9944,0.1573,0.0006,18
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 oct 2024,9968,0.154,1535,35645245,0.7557,4.05,0.9874,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 mar 2025,11475,0.1322,1517,38318976.5,,4.7,0.9823,0.1322,0.0013,12
Argentina,Juanchi,MARCA A ,Devoto,Pedidos Ya,1 feb 2025,9928,0.1528,1517,38464102.5,,4.7,0.9629,0.1528,0.0013,15
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 ago 2024,12377,0.122,1510,31775810,0.7947,4.8,0.9915,,0.0007,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 jul 2024,7413,0.201,1490,30556240,0.6644,4.5,0.9502,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 nov 2024,12991,0.112,1455,37754760,0.7485,4.4,0.9871,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 may 2025,10714,0.133,1425,42667527,0.7095,4.4,1,,0.0021,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 jun 2025,11858,0.12,1423,41505863,0.7407,4.65,0.9894,,0.0007,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 may 2025,12154,0.117,1422,29141393.5,0.5556,4.4,0.9751,,0.0007,
Argentina,Juanchi,MARCA A ,Urquiza,Rappi Turbo,1 may 2025,15293,0.092,1407,27943565,0.4513,4.4,0.9756,,0.0021,
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 feb 2025,8470,0.1634,1384,34813303.5,,4.6,0.9844,0.1634,0.0014,18
Argentina,Juanchi,MARCA A ,Urquiza,Pedidos Ya,1 ene 2025,1655,0.829,1372,35921771.5,,4.6,0.9886,0.829,0.0036,18
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 abr 2025,7534,0.178,1341,38790624,0.7271,4.75,1,,0.0007,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 ene 2025,8763,0.152,1332,37696095,0.7725,4.2,0.9962,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 jul 2024,9656,0.1367,1320,22774179.5,,4.6,0.9911,0.1367,0.0022,19
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 mar 2025,7497,0.175,1312,39698130,0.8095,4.4,0.9998,,0.0015,
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 nov 2024,10362,0.1242,1287,28275697.5,,4.6,0.9955,0.1242,0.0015,14
Argentina,Juanchi,MARCA A ,Belgrano,Rappi,1 feb 2025,6762,0.189,1278,35240010,0.7887,4.85,1,,0.0023,
Argentina,Juanchi,MARCA A ,Belgrano,Rappi Turbo,1 jun 2025,14033,0.09,1263,31321605,0.6065,4.8,0.9906,,0.0008,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 nov 2024,12262,0.103,1263,35035905,0.7007,4.8,0.9998,,0,
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 ene 2025,1412,0.8748,1235,31306935,,4.6,0.9802,0.8748,0.0032,15
Argentina,Juanchi,MARCA A ,Belgrano,Pedidos Ya,1 feb 2025,7597,0.1606,1220,31067417.5,,4.6,0.9735,0.1606,0.0024,15
Argentina,Juanchi,MARCA A ,Recoleta,Pedidos Ya,1 dic 2024,1272,0.9581,1219,30275808.25,,4.6,0.9886,0.9581,0.0024,14
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 sept 2024,9650,0.12,1158,24325940,0.7858,4.85,0.9966,,0.0009,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 jul 2024,6052,0.191,1156,22664225,0.7578,4.65,0.9959,,0,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 dic 2024,9449,0.118,1115,30828235,0.6664,4.7,0.9967,,0,
Argentina,Juanchi,MARCA A ,Devoto,Rappi,1 ago 2024,10168,0.107,1088,21694190,0.807,3.95,0.9853,,0.0028,
Argentina,Juanchi,MARCA A ,Recoleta,Rappi,1 mar 2025,6824,0.159,1085,32815550,0.7373,4.4,0.9972,,0.0009,
